name,displayName,types,layout,manaCost,manaValue,family,supportLevel,mechanics,targetMin,targetMax,targetZones,registeredActivatedAbilities,registeredTriggeredAbilities,cpuCast,cpuResolve,cpuTargetPlan,cpuActivatedPath,cpuPhasePath,legacyChecklistCount,nonblocking,notes
Undercity Sewers,地底街の下水道,Land,normal,,0,surveil_land,exact,surveil|tap,0,1,battlefield,0,1,yes,yes,yes,mana-core,registered-bounded,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Walking Ballista,歩行バリスタ,Creature|Artifact,normal,XX,0,walking_ballista,exact,damage,1,1,battlefield,2,0,yes,yes,yes,direct-v9,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Wooded Foothills,樹木茂る山麓,Land,normal,,0,fetch_land,exact,search|sacrifice|life|tutor,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Bloodstained Mire,血染めのぬかるみ,Land,normal,,0,fetch_land,exact,search|sacrifice|life|tutor,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Brotherhood's End,兄弟仲の終焉,Sorcery,normal,1RR,3,brotherhoods_end,exact,damage|destroy,0,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Carpet of Flowers,花の絨毯,Enchantment,normal,G,1,carpet,exact,,1,1,battlefield,0,0,yes,yes,yes,mana-core,direct-v9,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Consign to Memory,記憶への放逐,Instant,normal,U,1,hard_counter,exact,counter|copy,1,1,stack,0,1,yes,yes,yes,none,registered-bounded,0,yes,
Darksteel Citadel,ダークスティールの城塞,Land|Artifact,normal,,0,artifact_land,exact,destroy|mana|indestructible,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Dauthi Voidwalker,ダウスィーの虚空歩き,Creature,normal,BB,2,dauthi_voidwalker,bounded,exile|sacrifice,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,3,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Force of Negation,否定の力,Instant,normal,1UU,3,hard_counter,exact,exile|counter,1,1,stack,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Grafdigger's Cage,墓掘りの檻,Artifact,normal,1,1,grafdiggers_cage,bounded,,0,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Kozilek's Command,コジレックの命令,Instant|Kindred,normal,XCC,2,kozileks_command,exact,draw|scry|exile|sacrifice|token|mana,1,1,battlefield,1,0,yes,yes,yes,mana-core,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Legion Leadership,軍団の統率 // 軍団の要塞,Instant,modal_dfc,1R/W,2,legion_leadership,exact,mana|tap,1,1,battlefield,2,0,yes,yes,yes,mana-core,none,4,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Malevolent Rumble,邪悪鳴らし,Sorcery,normal,1G,2,malevolent_rumble,exact,sacrifice|token|mana|reveal,0,1,battlefield,0,0,yes,yes,yes,mana-core,none,5,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Mycosynth Lattice,マイコシンスの格子,Artifact,normal,6,6,mycosynth_lattice,bounded,,0,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Orcish Bowmasters,オークの弓使い,Creature,normal,1B,2,orcish_bowmasters,exact,draw|damage|flash,1,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Painter's Servant,絵描きの召使い,Creature|Artifact,normal,2,2,painter_servant,bounded,,0,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Sheoldred's Edict,シェオルドレッドの勅令,Instant,normal,1B,2,sheoldreds_edict,exact,sacrifice|token,0,1,battlefield,0,0,yes,yes,yes,none,none,4,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Tendrils of Agony,苦悶の触手,Sorcery,normal,2BB,4,tendrils,exact,life|copy|storm,1,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,0,yes,
Unlicensed Hearse,未認可霊柩車,Artifact,normal,2,2,unlicensed_hearse,exact,exile,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,2,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Verdant Catacombs,新緑の地下墓地,Land,normal,,0,fetch_land,exact,search|sacrifice|life|tutor,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Wishclaw Talisman,願い爪のタリスマン,Artifact,normal,1B,2,wishclaw,exact,search|tutor,0,1,battlefield,1,0,yes,yes,yes,direct-v9,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Auroral Procession,オーロラの行進,Instant,normal,GU,2,return_grave,exact,bounce,1,1,graveyard,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Beseech the Mirror,鏡に願いを,Sorcery,normal,1BBB,4,beseech,bounded,search|exile|tutor,0,1,battlefield,0,0,yes,yes,yes,none,none,4,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Blackcleave Cliffs,黒割れの崖,Land,normal,,0,fast_land,exact,mana|tap,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Bounty of the Hunt,狩りの報奨,Instant,normal,3GG,5,bounty,exact,exile|counter,1,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Breya's Apprentice,ブレイヤの見習い,Creature|Artifact,normal,2R,3,breya_apprentice,exact,exile|sacrifice|token|flying,1,1,battlefield,1,1,yes,yes,yes,registered-bounded,registered-bounded,2,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Eldrazi Confluence,エルドラージの合流点,Instant,normal,2CC,4,eldrazi_confluence,exact,exile|sacrifice|token|mana|tap,1,1,battlefield,1,0,yes,yes,yes,mana-core,none,4,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Glaring Fleshraker,まばゆい肉掻き,Creature,normal,2C,3,glaring_fleshraker,exact,damage|sacrifice|token|mana,0,1,battlefield,1,1,yes,yes,yes,mana-core,registered-bounded,0,yes,
Life from the Loam,壌土からの生命,Sorcery,normal,1G,2,return_lands,exact,draw|mill|bounce,1,3,graveyard,0,0,yes,yes,yes,none,none,4,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Lion's Eye Diamond,ライオンの瞳のダイアモンド,Artifact,normal,0,0,lion_eye_diamond,exact,discard|sacrifice,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Phyrexian Devourer,Phyrexian Devourer,Creature|Artifact,normal,6,6,phyrexian_devourer,bounded,exile|counter|sacrifice,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Redirect Lightning,雷逸らし,Instant,normal,R,1,redirect,exact,life,1,1,stack,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Soul-Guide Lantern,魂（たま）標（しるべ）ランタン,Artifact,normal,1,1,soul_guide_lantern,exact,draw|exile|sacrifice,0,1,battlefield,2,0,yes,yes,yes,direct-v9,none,0,yes,
The Filigree Sylex,金線の酒杯,Artifact,normal,2,2,filigree_sylex,exact,damage|destroy|sacrifice,0,1,battlefield,3,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Urza's Power Plant,ウルザの魔力炉,Land,normal,,0,urza_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Chalice of the Void,虚空の杯,Artifact,normal,XX,0,chalice,exact,counter,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Devourer of Destiny,運命を貪るもの,Creature,normal,5CC,7,devourer_destiny,exact,exile|reveal,0,1,battlefield,0,2,yes,yes,yes,none,registered-bounded,0,yes,
Elvish Spirit Guide,エルフの指導霊,Creature,normal,2G,3,spirit_guide,exact,exile|mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Leyline of Sanctity,神聖の力線,Enchantment,normal,2WW,4,leyline_sanctity,exact,hexproof,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Red Elemental Blast,赤霊破,Instant,normal,R,1,color_hate,exact,destroy|counter,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Sewer-veillance Cam,監視亀ラ,Artifact,normal,U,1,sewer_cam,exact,draw|sacrifice|tap|untap|flash,1,1,battlefield,1,1,yes,yes,yes,registered-bounded,registered-bounded,1,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Simian Spirit Guide,猿人の指導霊,Creature,normal,2R,3,spirit_guide,exact,exile|mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Spoils of the Vault,大霊堂の戦利品,Instant,normal,B,1,spoils,exact,exile|life|reveal,0,1,battlefield,0,0,yes,yes,yes,none,none,4,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Steel Wrecking Ball,破壊の鉄球,Artifact,normal,5,5,steel_wrecking_ball,exact,damage|destroy|discard,1,1,battlefield,1,1,yes,yes,yes,registered-bounded,registered-bounded,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Surgical Extraction,外科的摘出,Instant,normal,B/P,1,surgical,exact,search|exile|life|tutor,1,1,graveyard,0,0,yes,yes,yes,none,none,4,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Thundertrap Trainer,稲妻罠の教練者,Creature,normal,1U,2,thundertrap_trainer,exact,reveal,0,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
"Boseiju, Who Endures",耐え抜くもの、母聖樹,Land,normal,,0,boseiju,exact,search|destroy|discard|mana|tutor,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,0,yes,
Firemind's Foresight,火想者の予見,Instant,normal,5UR,7,fireminds_foresight,exact,search|reveal|tutor,0,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Invasion Submersible,侵略の潜水艇,Artifact,normal,2U,3,invasion_submersible,exact,bounce|tap,0,1,battlefield,1,1,yes,yes,yes,registered-bounded,registered-bounded,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Leyline of Resonance,残響の力線,Enchantment,normal,2RR,4,leyline_resonance,bounded,copy,0,1,battlefield,0,0,yes,yes,yes,none,none,4,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Plunge into Darkness,暗黒への突入,Instant,normal,1B,2,plunge,bounded,sacrifice|life,0,1,battlefield,0,0,yes,yes,yes,none,none,7,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Sphere of Resistance,抵抗の宝球,Artifact,normal,2,2,sphere,bounded,,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Swords to Plowshares,剣を鍬に,Instant,normal,W,1,swords,exact,exile|life,1,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Tishana's Tidebinder,ティシャーナの潮縛り,Creature,normal,2U,3,tishana,exact,counter|flash,0,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Untimely Malfunction,間の悪い故障,Instant,normal,1R,2,untimely_malfunction,exact,destroy,1,1,stack,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
"Atraxa, Grand Unifier",偉大なる統一者、アトラクサ,Creature,normal,3GWUB,7,atraxa,exact,reveal|flying|lifelink|vigilance,0,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Debt to the Deathless,死せざる者への債務,Sorcery,normal,XWWBB,4,debt,exact,life,0,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Engineered Explosives,仕組まれた爆薬,Artifact,normal,X,0,engineered_explosives,exact,destroy|sacrifice,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,1,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Agatha's Soul Cauldron,アガサの魂の大釜,Artifact,normal,2,2,soul_cauldron,bounded,exile,1,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,2,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Inquisition of Kozilek,コジレックの審問,Sorcery,normal,B,1,hand_discard,exact,discard|reveal,1,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
"Iona, Shield of Emeria",エメリアの盾、イオナ,Creature,normal,6WWW,9,iona,exact,flying,0,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Chancellor of the Dross,ドロスの大長,Creature,normal,4BBB,7,chancellor_dross,exact,life|reveal|flying|lifelink,0,1,battlefield,0,1,yes,yes,yes,none,direct-v9,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Chancellor of the Forge,溶鉱炉の大長,Creature,normal,4RRR,7,chancellor_forge,exact,token|reveal,0,1,battlefield,0,2,yes,yes,yes,none,direct-v9,0,yes,
"Emrakul, the Aeons Torn",引き裂かれし永劫、エムラクール,Creature,normal,15,15,emrakul,bounded,counter|flying,0,1,battlefield,0,2,yes,yes,yes,none,registered-bounded,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
"Karn, the Great Creator",大いなる創造者、カーン,Planeswalker,normal,4,4,karn,bounded,exile|reveal,1,1,battlefield,2,0,yes,yes,yes,registered-bounded,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Phyrexian Dragon Engine,Phyrexian Dragon Engine,Creature|Artifact,meld,3,3,dragon_engine,exact,draw|discard|doubleStrike,0,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
"Quicksilver, Brash Blur",奔放なる閃影、クイックシルバー,Creature,normal,R,1,quicksilver,exact,doubleStrike,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,2,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
"Tezzeret, Cruel Captain",冷（れい）酷（こく）な船（せん）長（ちょう）、テゼレット,Planeswalker,normal,3,3,tezzeret,bounded,search|counter|tap|untap|reveal|tutor,0,1,battlefield,3,0,yes,yes,yes,registered-bounded,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
"Ugin, Eye of the Storms","Ugin, Eye of the Storms",Planeswalker,normal,7,7,ugin,bounded,draw|search|exile|life|mana|tutor,1,1,stack,3,1,yes,yes,yes,mana-core,registered-bounded,0,yes,rare interactions/continuous layers/hidden choices are conservatively approximated
"Wilson, Refined Grizzly",上品な灰色熊、ウィルソン,Creature,normal,1G,2,wilson,exact,counter|ward|trample|vigilance,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Chancellor of the Tangle,絡み森の大長,Creature,normal,4GGG,7,chancellor_tangle,exact,mana|reveal|vigilance,0,1,battlefield,0,0,yes,yes,yes,mana-core,direct-v9,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Legolas's Quick Reflexes,Legolas's Quick Reflexes,Instant,normal,G,1,legolas_reflexes,exact,damage|tap|untap|hexproof,1,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
"Sorin, Imperious Bloodlord",傲慢な血王、ソリン,Planeswalker,normal,2B,3,sorin,bounded,damage|sacrifice|life|lifelink,0,1,battlefield,3,0,yes,yes,yes,registered-bounded,none,0,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
"Yavimaya, Cradle of Growth",成長の揺り篭、ヤヴィマヤ,Land,normal,,0,yavimaya,bounded,,0,1,battlefield,0,0,yes,yes,yes,mana-core,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
"Tamiyo, Inquisitive Student",知りたがりの学徒、タミヨウ,Creature,transform,U,1,tamiyo,bounded,draw|exile|bounce|sacrifice|token|mana|transform|flying,0,1,battlefield,2,3,yes,yes,yes,mana-core,registered-bounded,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Silundi Vision // Silundi Isle,シルンディの幻視 // シルンディの島嶼,Instant,modal_dfc,2U,3,look_select,exact,mana|tap|reveal,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,8,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
The Tabernacle at Pendrell Vale,The Tabernacle at Pendrell Vale,Land,normal,,0,tabernacle,bounded,destroy,0,1,battlefield,0,0,yes,yes,yes,none,direct-v9,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Walk-In Closet // Forgotten Cellar,収納室 // 忘れられた地下室,Enchantment,split,2G,8,walkin_closet,bounded,exile,0,1,battlefield,0,0,yes,yes,yes,none,none,10,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Sink into Stupor // Soporific Springs,朦朧への没入 // 催眠の泉,Instant,modal_dfc,1UU,3,bounce_spell,exact,bounce|life|mana|tap,1,1,stack,2,0,yes,yes,yes,mana-core,none,5,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Darkbore Pathway // Slitherbore Pathway,闇孔の小道 // 蛇孔の小道,Land,modal_dfc,,0,pathway_land,exact,mana,0,1,battlefield,4,0,yes,yes,yes,mana-core,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Waterlogged Teachings // Inundated Archive,水浸しの教え // 冠水した書庫,Instant,modal_dfc,3U/B,4,tutor,exact,search|mana|tap|reveal|flash|tutor,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,6,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,鏡割りの寓話 // キキジキの鏡像,Enchantment,transform,2R,3,fable,bounded,draw|exile|discard|sacrifice|token|mana|copy|transform,1,1,battlefield,0,2,yes,yes,yes,none,registered-bounded,5,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
"Galactus, Devourer of Worlds",世界を喰らうもの、ギャラクタス,Creature,normal,10,10,galactus,bounded,destroy|exile|life|indestructible|flying|trample,1,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,4,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Mindbreak Trap,精神壊しの罠,Instant,normal,2UU,4,exile_spells,exact,exile,1,1,stack,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
